 fft_type  n_threads  n_points  n_iterations  Throughput  Stdev          
 fft       1          1000      100           238.1264    82.6040641906  
 fft       1          10000     100           488.3888    17.9225701059  
 fft       1          100000    100           347.2222    34.0674422609  
 fft       1          500000    100           313.5064    27.4922396014  
 fft       1          1000000   100           305.7838    23.420388323   
 ifft      1          1000      100           225.82406   93.1011509017  
 ifft      1          10000     100           451.114     37.1739944249  
 ifft      1          100000    100           341.6262    25.4955017248  
 ifft      1          500000    100           313.491     30.0999678488  
 ifft      1          1000000   100           298.135     16.6307636626  
 irfft     1          1000      100           72.13896    16.9321978995  
 irfft     1          10000     100           97.1006     5.93886147885  
 irfft     1          100000    100           72.41422    4.19044101223  
 irfft     1          500000    100           65.41       0.550870075426 
 irfft     1          1000000   100           89.72008    3.35351867402  
 rfft      1          1000      100           67.29504    20.1452483782  
 rfft      1          10000     100           175.678     2.28379826167  
 rfft      1          100000    100           180.0098    2.39980388782  
 rfft      1          500000    100           148.6752    7.0367373974   
 rfft      1          1000000   100           190.3638    10.4913690575  
