 fft_type  n_threads  n_points  n_iterations  Throughput  Stdev         
 fft       1          1000      100           451.6204    195.273143624 
 fft       1          10000     100           650.27      14.5700464824 
 fft       1          100000    100           402.495     42.6454793384 
 fft       1          500000    100           277.311     16.2041754804 
 fft       1          1000000   100           266.6644    7.4592510549  
 ifft      1          1000      100           525.2396    244.667799921 
 ifft      1          10000     100           666.166     63.1700621774 
 ifft      1          100000    100           385.072     32.6793417697 
 ifft      1          500000    100           283.407     23.8687811691 
 ifft      1          1000000   100           262.2832    14.655900508  
 irfft     1          1000      100           171.53544   59.8837410018 
 irfft     1          10000     100           177.7194    19.6197600852 
 irfft     1          100000    100           104.44388   6.26647620892 
 irfft     1          500000    100           93.96858    5.93607630106 
 irfft     1          1000000   100           138.1052    2.54776955394 
 rfft      1          1000      100           221.28916   96.0677400443 
 rfft      1          10000     100           436.6782    27.9366834324 
 rfft      1          100000    100           379.1946    51.6065563015 
 rfft      1          500000    100           250.448     19.2212858311 
 rfft      1          1000000   100           269.0666    14.8434466617 
